categoryId,branchId,renewals,price,issues
7,5,53,278.66,91
7,6,6454,8430.85,7237
7,7,343,412.23,1153
7,8,184,174.68,962
7,9,244,181.65,596
7,10,62,106.79,269
7,11,43,80.85,189
7,14,0,75.39,0
7,15,200,221.64,667
7,16,205,212.6,614
7,17,617,412.8,2250
7,19,17,35.93,80
7,21,73,119.31,186
7,23,196,245.04,491
7,24,5,7.98,32
7,25,7,4.99,3
7,26,0,14.97,8
8,0,0,0.0,0
8,1,9310,6938.59,30295
8,2,1293,2320.53,7523
8,3,285,1065.52,1772
8,4,12439,5726.94,41460
8,6,36,113.88,71
8,7,2099,3254.46,12142
8,8,1424,1960.2,7417
8,9,2287,2607.96,8689
8,10,335,946.74,1798
8,11,779,1479.94,3041
8,12,17,7.98,73
8,14,0,140.69,0
8,15,1535,2354.48,7969
8,16,341,875.22,1419
8,17,1529,1900.66,5645
8,19,200,644.76,697
8,21,67,208.91,142
8,22,8,2.99,49
8,23,435,1471.2,2501
8,24,7,7.98,40
8,25,37,11.97,31
8,26,93,171.69,442
9,0,1543,348672.29,4662
9,1,2597,227811.78,11556
9,2,8,377.85,611
9,3,9,189.42,8
9,4,20,1339.24,191
9,5,0,123.85,0
9,7,17,451.4,69
9,8,5,185.42,7
9,9,11,522.19,22
9,10,3,113.44,20
9,11,4,110.42,5
9,12,11,127.87,38
9,13,2900,62413.84,13022
9,14,1,3296.25,22
9,15,6,330.4,8
9,16,0,114.97,8
9,17,14,609.19,17
9,18,3,1153.8,61
9,19,0,77.43,3
9,20,4,196.87,7
9,21,0,110.96,0
9,23,1,209.41,7
9,24,0,50.44,2
9,25,0,4.99,0
9,26,0,0.0,0
9,27,0,25.98,2
9,28,0,30.16,0
9,30,0,10.99,2
9,31,0,708.91,3
9,32,11,907.69,229
10,0,5,8.25,45
10,1,12570,14681.24,23942
10,2,2378,6648.98,8883
10,3,807,3485.5,3037
10,4,12384,11772.26,26172
10,5,12,82.68,12
10,6,834,1358.89,1341
10,7,2704,5873.7,10411
10,8,2474,4686.6,7768
10,9,3353,4458.86,9118
10,10,361,1055.53,824
10,11,745,3104.99,2388
10,12,1717,5082.65,3292
10,14,0,110.87,0
10,15,2893,5473.76,7608
10,16,1200,1956.45,2520
10,17,2249,4129.26,5813
10,19,383,1331.68,1453
10,21,317,640.01,570
10,22,5,4.99,10
10,23,1665,3153.23,4085
10,24,45,171.23,167
10,25,33,58.92,54
10,26,62,190.3,266
10,30,7,0.0,18
10,32,62,54.78,2373
11,0,1637,667.1,4576
11,1,5205,2363.39,6274
11,2,177,101.84,167
11,3,34,22.97,60
11,4,1330,781.69,1618
11,7,472,257.54,699
11,8,125,94.89,74
11,9,566,422.28,704
11,10,4,13.98,6
11,11,4,13.98,9
11,12,354,352.1,683
11,14,10,72.41,36
11,15,194,201.25,374
11,16,7,15.98,8
11,17,49,86.79,148
11,19,1,3.5,5
11,23,3,14.98,14
12,0,266,255.73,582
12,1,8183,9055.62,13952
12,2,366,1133.37,904
12,3,62,225.81,140
12,4,835,1249.8,1517
12,7,1030,2045.26,2052
12,8,159,411.59,208
12,9,1024,1692.76,1530
12,10,41,95.93,55
12,11,146,507.6,270
12,12,1761,4405.85,3259
12,14,93,849.94,163
12,15,416,1698.34,983
12,16,75,278.73,238
12,17,543,1035.07,748
12,19,4,45.97,24
12,21,28,171.87,88
12,22,0,6.99,2
12,23,177,474.61,302
12,24,54,22.97,13
13,0,42,33.97,95
13,1,3043,3112.03,5772
13,2,180,336.67,499
13,3,158,332.71,216
13,4,311,524.52,580
13,7,458,828.26,1314
13,8,116,467.59,250
13,9,396,786.37,820
13,10,25,73.92,49
13,11,261,376.69,299
13,12,130,270.77,206
13,14,52,400.52,244
13,15,217,702.39,654
13,16,89,329.68,110
13,17,396,1114.89,837
13,19,13,65.94,35
13,21,41,83.93,55
13,22,31,12.98,6
13,23,169,482.67,415
13,24,1,6.99,9
13,30,46,6.99,13
14,0,417,535.55,1379
14,1,14952,23832.3,43103
14,2,2145,6172.23,8332
14,3,415,2423.15,1411
14,4,5369,9281.53,16411
14,5,91,163.88,270
14,7,5077,10995.66,19519
14,8,1924,5284.18,6168
14,9,2689,8080.38,10354
14,10,449,2037.42,1194
14,11,1100,3744.21,3241
14,12,2354,7171.0,7794
14,13,0,7.99,0
14,14,304,1357.23,1142
14,15,3169,8348.95,10215
14,16,1733,4089.56,5340
14,17,3172,8727.36,11351
14,19,341,1631.82,1252
14,21,575,2004.24,1818
14,22,35,85.89,114
14,23,1275,4405.82,4687
14,24,27,106.9,142
14,25,19,20.97,29
14,26,0,6.99,7
14,30,1,10.99,18
15,1,441,1102.82,1097
15,2,35,127.85,127
15,3,23,35.93,39
15,4,53,97.87,134
15,5,0,0.0,0
15,7,12,29.93,51
